MainAccount,Journal number,Date,Voucher,Document,Document date,Posting type,Account entry description,Ledger account,Main account,Main account name,Amount,Amount in transaction currency,Currency,Monetary amount,Document type,Transaction type,Destination company,Party number,Party name,Document description,Document text,Product,Line number,Line date,Quantity,Unit,Line text,Line description,Line document reference,Location,Project ID,Activity number,Category name,Line property
600500,GB06-183178,01/08/2022,CCRN00000136,CCRN00000136,01/08/2022,Sales order revenue,,600500-GB070234-GBNEW-OPS-PGB0600000487-PGB0700000799-GB06,600500,Intercompany Revenue,"11,050.00","11,050.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-183179,01/08/2022,CCRN00000137,CCRN00000137,01/08/2022,Sales order revenue,,600500-GB060219---PGB0600000807-PGB0700001161-GB07,600500,Intercompany Revenue,"6,870.00","6,870.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184442,01/08/2022,CCRN00000138,CCRN00000138,01/08/2022,Sales order revenue,,600500-GB060219---PGB0600001579-PGB0700002567-GB07,600500,Intercompany Revenue,"2,325.00","2,325.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184469,01/08/2022,CCRN00000139,CCRN00000139,01/08/2022,Sales order revenue,,600500-GB060607---PGB0600000997-PGB0700001297-GB07,600500,Intercompany Revenue,"13,511.00","13,511.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184478,01/08/2022,CCRN00000140,CCRN00000140,01/08/2022,Sales order revenue,,600500-GB060211---PGB0600000326-PGB0700000456-GB07,600500,Intercompany Revenue,"54,483.00","54,483.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184506,01/08/2022,CCRN00000141,CCRN00000141,01/08/2022,Sales order revenue,,600500-GB060607---PGB0600000770-PGB0700000909-GB07,600500,Intercompany Revenue,"94,574.00","94,574.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190474,11/08/2022,CCRN00000142,CCRN00000142,11/08/2022,Sales order revenue,,600500-GB060605---PGB0600001809-PGB0700002756-GB07,600500,Intercompany Revenue,296.00,296.00,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190477,11/08/2022,CCRN00000143,CCRN00000143,11/08/2022,Sales order revenue,,600500-GB060605---PGB0600001806-PGB0700002753-GB07,600500,Intercompany Revenue,444.00,444.00,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190479,11/08/2022,CCRN00000144,CCRN00000144,11/08/2022,Sales order revenue,,600500-GB060220---PGB0600001863-PGB0700002703-GB07,600500,Intercompany Revenue,912.00,912.00,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190559,11/08/2022,CCRN00000145,CCRN00000145,11/08/2022,Sales order revenue,,600500-GB060605---PGB0600001767-PGB0700002684-GB07,600500,Intercompany Revenue,325.00,325.00,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190568,11/08/2022,CCRN00000146,CCRN00000146,11/08/2022,Sales order revenue,,600500-GB060607---PGB0600000982-PGB0700000941-GB07,600500,Intercompany Revenue,"1,140.00","1,140.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190571,11/08/2022,CCRN00000147,CCRN00000147,11/08/2022,Sales order revenue,,600500-GB060607---PGB0600000640-PGB0700000941-GB07,600500,Intercompany Revenue,"40,756.00","40,756.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190574,11/08/2022,CCRN00000148,CCRN00000148,11/08/2022,Sales order revenue,,600500-GB060605---PGB0600000576-PGB0700000941-GB07,600500,Intercompany Revenue,"15,093.00","15,093.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190575,11/08/2022,CCRN00000149,CCRN00000149,11/08/2022,Sales order revenue,,600500-GB060605---PGB0600001784-PGB0700001454-GB07,600500,Intercompany Revenue,"3,992.00","3,992.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190577,11/08/2022,CCRN00000150,CCRN00000150,11/08/2022,Sales order revenue,,600500-GB060605---PGB0600000925-PGB0700001297-GB07,600500,Intercompany Revenue,"113,095.00","113,095.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190580,11/08/2022,CCRN00000151,CCRN00000151,11/08/2022,Sales order revenue,,600500-GB060605---PGB0600001859-PGB0700002864-GB07,600500,Intercompany Revenue,"7,427.00","7,427.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190584,11/08/2022,CCRN00000152,CCRN00000152,11/08/2022,Sales order revenue,,600500-GB060213---PGB0600001453-PGB0700002267-GB07,600500,Intercompany Revenue,839.00,839.00,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190594,11/08/2022,CCRN00000153,CCRN00000153,11/08/2022,Sales order revenue,,600500-GB060211---PGB0600002548-PGB0700001297-GB07,600500,Intercompany Revenue,"10,714.00","10,714.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190595,11/08/2022,CCRN00000154,CCRN00000154,11/08/2022,Sales order revenue,,600500-GB060220---PGB0600001779-PGB0700002699-GB07,600500,Intercompany Revenue,"13,595.00","13,595.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190597,11/08/2022,CCRN00000155,CCRN00000155,11/08/2022,Sales order revenue,,600500-GB060605---PGB0600001792-PGB0700002711-GB07,600500,Intercompany Revenue,809.00,809.00,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190598,11/08/2022,CCRN00000156,CCRN00000156,11/08/2022,Sales order revenue,,600500-GB060211---PGB0600002549-PGB0700000941-GB07,600500,Intercompany Revenue,"10,714.00","10,714.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-190599,11/08/2022,CCRN00000157,CCRN00000157,11/08/2022,Sales order revenue,,600500-GB060605---PGB0600001139-PGB0700002683-GB07,600500,Intercompany Revenue,"24,042.00","24,042.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-191782,12/08/2022,CCRN00000158,CCRN00000158,12/08/2022,Sales order revenue,,600500-GB060607---PGB0600001774-PGB0700002683-GB07,600500,Intercompany Revenue,"1,849.00","1,849.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-191786,12/08/2022,CCRN00000159,CCRN00000159,12/08/2022,Sales order revenue,,600500-GB060605---PGB0600001882-PGB0700002881-GB07,600500,Intercompany Revenue,"10,271.00","10,271.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-191791,12/08/2022,CCRN00000160,CCRN00000160,12/08/2022,Sales order revenue,,600500-GB060607---PGB0600001883-PGB0700002881-GB07,600500,Intercompany Revenue,548.00,548.00,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-191811,12/08/2022,CCRN00000161,CCRN00000161,12/08/2022,Sales order revenue,,600500-GB060220---PGB0600001872-PGB0700002888-GB07,600500,Intercompany Revenue,"3,064.00","3,064.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-191813,12/08/2022,CCRN00000162,CCRN00000162,12/08/2022,Sales order revenue,,600500-GB060607---PGB0600002771-PGB0700003761-GB07,600500,Intercompany Revenue,809.00,809.00,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-183180,01/08/2022,CINV00002536,CINV00002536,01/08/2022,Sales order revenue,,600500-GB060218---PGB0600001067-PGB0700001514-GB07,600500,Intercompany Revenue,-84.38,-84.38,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-183181,01/08/2022,CINV00002537,CINV00002537,01/08/2022,Sales order revenue,,600500-GB060221---PGB0600000974-PGB0700001530-GB07,600500,Intercompany Revenue,"-1,100.00","-1,100.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184436,01/08/2022,CINV00002538,CINV00002538,01/08/2022,Sales order revenue,,600500-GB060213---PGB0600000468-PGB0700000759-GB07,600500,Intercompany Revenue,"-2,500.00","-2,500.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184437,01/08/2022,CINV00002539,CINV00002539,01/08/2022,Sales order revenue,,600500-GB060224---PGB0600000413-PGB0700000644-GB07,600500,Intercompany Revenue,"-9,093.83","-9,093.83",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184438,01/08/2022,CINV00002540,CINV00002540,01/08/2022,Sales order revenue,,600500-GB060224---PGB0600000749-PGB0700001086-GB07,600500,Intercompany Revenue,"-4,650.00","-4,650.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184440,01/08/2022,CINV00002541,CINV00002541,01/08/2022,Sales order revenue,,600500-GB060604---PGB0600001628-PGB0700002553-GB07,600500,Intercompany Revenue,-621.08,-621.08,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184441,01/08/2022,CINV00002542,CINV00002542,01/08/2022,Sales order revenue,,600500-GB060603---PGB0600001708-PGB0700002620-GB07,600500,Intercompany Revenue,"-4,699.33","-4,699.33",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184443,01/08/2022,CINV00002543,CINV00002543,01/08/2022,Sales order revenue,,600500-GB060603---PGB0600000825-PGB0700001244-GB07,600500,Intercompany Revenue,-909.44,-909.44,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184444,01/08/2022,CINV00002544,CINV00002544,01/08/2022,Sales order revenue,,600500-GB060603---PGB0600001444-PGB0700002585-GB07,600500,Intercompany Revenue,-0.01,-0.01,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184448,01/08/2022,CINV00002545,CINV00002545,01/08/2022,Sales order revenue,,600500-GB060220---PGB0600000785-PGB0700001342-GB07,600500,Intercompany Revenue,-647.00,-647.00,GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184446,01/08/2022,CINV00002546,CINV00002546,01/08/2022,Sales order revenue,,600500-GB060604---PGB0600001510-PGB0700001523-GB07,600500,Intercompany Revenue,"-11,201.00","-11,201.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184447,01/08/2022,CINV00002547,CINV00002547,01/08/2022,Sales order revenue,,600500-GB060228---PGB0600001511-PGB0700001523-GB07,600500,Intercompany Revenue,"-16,158.00","-16,158.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184450,01/08/2022,CINV00002548,CINV00002548,01/08/2022,Sales order revenue,,600500-GB060221---PGB0600001128-PGB0700001597-GB07,600500,Intercompany Revenue,"-2,000.00","-2,000.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184451,01/08/2022,CINV00002549,CINV00002549,01/08/2022,Sales order revenue,,600500-GB060604---PGB0600001940-PGB0700001745-GB07,600500,Intercompany Revenue,"-2,722.50","-2,722.50",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
600500,GB06-184452,01/08/2022,CINV00002550,CINV00002550,01/08/2022,Sales order revenue,,600500-GB060604---PGB0600000317-PGB0700000501-GB07,600500,Intercompany Revenue,"-2,000.00","-2,000.00",GBP,,,Sales order,,C0000029,Turner & Townsend Project Management Ltd,,,,0.00,,0.00,,,,,,,,,
